mu,Tc
0.01,102.80
1.01,102.80
2.01,102.80
3.01,102.80
4.01,102.80
5.01,102.70
6.01,102.70
7.01,102.70
8.01,102.70
9.01,102.70
10.01,102.70
11.01,102.70
12.01,102.60
13.01,102.60
14.01,102.60
15.01,102.60
16.01,102.50
17.01,102.50
18.01,102.50
19.01,102.40
20.01,102.40
21.01,102.40
22.01,102.30
23.01,102.30
24.01,102.20
25.01,102.20
26.01,102.20
27.01,102.10
28.01,102.10
29.01,102.00
30.01,101.90
31.01,101.90
32.01,101.80
33.01,101.80
34.01,101.70
35.01,101.60
36.01,101.60
37.01,101.50
38.01,101.40
39.01,101.40
40.01,101.30
41.01,101.20
42.01,101.20
43.01,101.10
44.01,101.00
45.01,100.90
46.01,100.80
47.01,100.70
48.01,100.70
49.01,100.60
50.01,100.50
51.01,100.40
52.01,100.30
53.01,100.20
54.01,100.10
55.01,100.00
56.01,99.90
57.01,99.80
58.01,99.70
59.01,99.60
60.01,99.50
61.01,99.30
62.01,99.20
63.01,99.10
64.01,99.00
65.01,98.90
66.01,98.80
67.01,98.60
68.01,98.50
69.01,98.40
70.01,98.30
71.01,98.10
72.01,98.00
73.01,97.90
74.01,97.70
75.01,97.60
76.01,97.40
77.01,97.30
78.01,97.20
79.01,97.00
80.01,96.90
81.01,96.70
82.01,96.60
83.01,96.40
84.01,96.20
85.01,96.10
86.01,95.90
87.01,95.80
88.01,95.60
89.01,95.40
90.01,95.30
91.01,95.10
92.01,94.90
93.01,94.70
94.01,94.60
95.01,94.40
96.01,94.20
97.01,94.00
98.01,93.80
99.01,93.70
100.01,93.50
101.01,93.30
102.01,93.10
103.01,92.90
104.01,92.70
105.01,92.50
106.01,92.30
107.01,92.10
108.01,91.90
109.01,91.70
110.01,91.50
111.01,91.30
112.01,91.10
113.01,90.80
114.01,90.60
115.01,90.40
116.01,90.20
117.01,90.00
118.01,89.70
119.01,89.50
120.01,89.30
121.01,89.00
122.01,88.80
123.01,88.60
124.01,88.30
125.01,88.10
126.01,87.90
127.01,87.60
128.01,87.40
129.01,87.10
130.01,86.90
131.01,86.60
132.01,86.40
133.01,86.10
134.01,85.80
135.01,85.60
136.01,85.30
137.01,85.10
138.01,84.80
139.01,84.50
140.01,84.30
141.01,84.00
142.01,83.70
143.01,83.40
144.01,83.10
145.01,82.90
146.01,82.60
147.01,82.30
148.01,82.00
149.01,81.70
150.01,81.40
151.01,81.10
152.01,80.80
153.01,80.50
154.01,80.20
155.01,79.90
156.01,79.60
157.01,79.30
158.01,79.00
159.01,78.70
160.01,78.40
161.01,78.10
162.01,77.80
163.01,77.40
164.01,77.10
165.01,76.80
166.01,76.50
167.01,76.10
168.01,75.80
169.01,75.50
170.01,75.10
171.01,74.80
172.01,74.50
173.01,74.10
174.01,73.80
175.01,73.40
176.01,73.10
177.01,72.70
178.01,72.40
179.01,72.00
180.01,71.70
181.01,71.30
182.01,70.90
183.01,70.60
184.01,70.20
185.01,69.80
186.01,69.50
187.01,69.10
188.01,68.70
189.01,68.40
190.01,68.00
191.01,67.60
192.01,67.20
193.01,66.80
194.01,66.40
195.01,66.00
196.01,65.70
197.01,65.30
198.01,64.90
199.01,64.50
200.01,64.10
201.01,63.70
202.01,63.30
203.01,62.90
204.01,62.40
205.01,62.00
206.01,61.60
207.01,61.20
208.01,60.80
209.01,60.40
210.01,60.00
211.01,59.50
212.01,59.10
213.01,58.70
214.01,58.20
215.01,57.80
216.01,57.40
217.01,56.90
218.01,56.50
219.01,56.10
220.01,55.60
221.01,55.20
222.01,54.70
223.01,54.30
224.01,53.80
225.01,53.40
226.01,52.90
227.01,52.50
228.01,52.00
229.01,51.50
230.01,51.10
231.01,50.60
232.01,50.10
233.01,49.70
234.01,49.20
235.01,48.70
236.01,48.20
237.01,47.80
238.01,47.30
239.01,46.80
240.01,46.30
241.01,45.80
242.01,45.30
243.01,44.80
244.01,44.30
245.01,43.80
246.01,43.30
247.01,42.80
248.01,42.30
249.01,41.80
250.01,41.30
251.01,40.80
252.01,40.30
253.01,39.80
254.01,39.30
255.01,38.70
256.01,38.20
257.01,37.70
258.01,37.20
259.01,36.60
260.01,36.10
261.01,35.60
262.01,35.00
263.01,34.50
264.01,34.00
265.01,33.40
266.01,32.90
267.01,32.30
268.01,31.80
269.01,31.20
270.01,30.70
271.01,30.10
272.01,29.60
273.01,29.00
274.01,28.50
275.01,27.90
276.01,27.30
277.01,26.80
278.01,26.20
279.01,25.60
280.01,25.00
281.01,24.50
282.01,23.90
283.01,23.30
284.01,22.70
285.01,22.10
286.01,21.50
287.01,20.90
288.01,20.30
289.01,19.70
290.01,19.10
291.01,18.50
292.01,17.90
293.01,17.30
294.01,16.70
295.01,16.10
296.01,15.50
297.01,14.90
298.01,14.30
299.01,13.60
300.01,13.00
301.01,12.40
302.01,11.80
303.01,11.10
304.01,10.50
305.01,9.90
306.01,9.20
307.01,8.60
308.01,7.90
309.01,7.30
310.01,6.60
311.01,6.00
312.01,5.30
313.01,4.70
314.01,4.00
315.01,3.40
316.01,2.70
317.01,2.00
318.01,1.40
319.01,0.70
